Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,275.0,296.70001220703125,257.0,275.79998779296875,257.16070556640625,8546115
2020-10-06,274.0,274.1499938964844,261.54998779296875,266.25,248.2561798095703,2721384
2020-10-07,262.8999938964844,270.0,262.5,265.54998779296875,247.60342407226562,820087
2020-10-08,267.04998779296875,273.3500061035156,264.54998779296875,270.8500061035156,252.5452880859375,738189
2020-10-09,270.8500061035156,276.0,270.0,274.8500061035156,256.2749328613281,556877
2020-10-12,275.0,276.8999938964844,265.0,269.45001220703125,251.2399139404297,440901
2020-10-13,266.3500061035156,272.0,263.0,269.79998779296875,251.56622314453125,369077
2020-10-14,267.1499938964844,269.0,260.6000061035156,261.79998779296875,244.10687255859375,231803
2020-10-15,263.0,266.1499938964844,255.0,257.25,239.8643798828125,215948
2020-10-16,257.1000061035156,260.5,243.0,245.10000610351562,228.5355682373047,229542
2020-10-19,247.0,248.3000030517578,234.3000030517578,235.85000610351562,219.9106903076172,309411
2020-10-20,235.85000610351562,236.85000610351562,223.8000030517578,224.64999389648438,209.46759033203125,297310
2020-10-21,222.1999969482422,243.8000030517578,222.1999969482422,238.9499969482422,222.8011474609375,1258703
2020-10-22,238.5,244.60000610351562,233.0500030517578,238.9499969482422,222.8011474609375,392632
2020-10-23,241.4499969482422,242.9499969482422,235.60000610351562,240.0500030517578,223.8268280029297,383393
2020-10-26,241.0,251.1999969482422,240.1999969482422,248.75,231.9388427734375,320284
2020-10-27,267.0,298.5,267.0,298.5,278.32659912109375,4709948
2020-10-28,305.8999938964844,335.8999938964844,278.8500061035156,315.8500061035156,294.5040588378906,7045991
2020-10-29,300.0,329.95001220703125,296.95001220703125,325.75,303.73504638671875,1977190
2020-10-30,327.95001220703125,379.0,327.0,353.3500061035156,329.4697265625,4462984
2020-11-02,353.6499938964844,354.0,314.29998779296875,315.8999938964844,298.05120849609375,933339
2020-11-03,312.5,328.8999938964844,296.5,298.8999938964844,282.01171875,848752
2020-11-04,299.04998779296875,322.79998779296875,290.6499938964844,309.70001220703125,292.2015075683594,768906
2020-11-05,315.20001220703125,320.0,304.79998779296875,311.20001220703125,293.61676025390625,288705
2020-11-06,311.8999938964844,317.45001220703125,309.04998779296875,311.54998779296875,293.9469909667969,359419
2020-11-09,312.04998779296875,342.70001220703125,309.1499938964844,334.5,315.6003112792969,2120253
2020-11-10,339.8999938964844,345.8999938964844,323.0,327.8500061035156,309.32598876953125,721991
2020-11-11,327.70001220703125,338.79998779296875,323.3500061035156,332.04998779296875,313.2887268066406,505739
2020-11-12,333.0,343.5,326.6000061035156,338.04998779296875,318.9497375488281,517305
2020-11-13,335.25,364.1000061035156,335.25,352.20001220703125,332.30023193359375,915610
2020-11-14,351.0,355.0,346.6000061035156,351.79998779296875,331.9228210449219,149447
2020-11-17,348.04998779296875,356.5,345.0,349.5,329.7527770996094,632194
2020-11-18,350.45001220703125,354.95001220703125,348.6499938964844,351.20001220703125,331.35675048828125,204970
2020-11-19,346.8500061035156,369.3500061035156,346.8500061035156,358.8500061035156,338.5744934082031,547130
2020-11-20,357.5,364.0,353.6499938964844,359.79998779296875,339.4708251953125,259500
2020-11-23,360.0,363.8999938964844,355.75,356.29998779296875,336.1685485839844,178666
2020-11-24,356.29998779296875,360.0,353.5,354.8500061035156,334.8005065917969,140872
2020-11-25,354.8500061035156,363.75,351.75,352.5,332.5832824707031,273223
2020-11-26,355.95001220703125,358.3999938964844,351.5,351.8999938964844,332.0171813964844,134142
2020-11-27,352.29998779296875,360.29998779296875,351.5,357.79998779296875,337.5838317871094,249363
2020-12-01,353.1000061035156,356.8999938964844,350.25,350.54998779296875,330.74346923828125,153972
2020-12-02,351.45001220703125,353.95001220703125,348.75,350.25,330.4604187011719,119345
2020-12-03,351.6499938964844,353.1000061035156,347.5,348.8999938964844,329.1866455078125,119037
2020-12-04,349.1000061035156,352.0,347.1499938964844,347.8500061035156,328.19598388671875,126982
2020-12-07,352.0,408.0,350.04998779296875,380.8500061035156,359.33148193359375,1132733
2020-12-08,384.3999938964844,385.3999938964844,360.0,361.54998779296875,341.1219177246094,378460
2020-12-09,365.79998779296875,378.0,357.25,358.6000061035156,338.3386535644531,478312
2020-12-10,360.29998779296875,368.75,353.75,360.70001220703125,340.32000732421875,291865
2020-12-11,363.0,367.20001220703125,354.20001220703125,354.95001220703125,334.8948669433594,217875
2020-12-14,362.8500061035156,363.8999938964844,354.5,356.04998779296875,335.9327087402344,164219
2020-12-15,353.20001220703125,364.8500061035156,353.1000061035156,358.5,338.2442932128906,184641
2020-12-16,359.0,363.75,357.0,360.45001220703125,340.0841369628906,213563
2020-12-17,357.0,363.0,357.0,357.6499938964844,337.4422302246094,75165
2020-12-18,358.20001220703125,361.8999938964844,343.04998779296875,348.0,328.3375244140625,424373
2020-12-21,348.0,349.95001220703125,316.70001220703125,334.54998779296875,315.6474609375,498025
2020-12-22,334.54998779296875,340.79998779296875,315.04998779296875,325.8999938964844,307.4862060546875,348717
2020-12-23,326.0,341.0,326.0,338.1499938964844,319.0440673828125,137526
2020-12-24,338.5,344.0,335.0,337.70001220703125,318.6195373535156,231309
2020-12-28,338.3999938964844,342.8500061035156,334.5,336.8500061035156,317.81756591796875,146899
2020-12-29,338.0,341.8500061035156,335.0,336.8500061035156,317.81756591796875,223265
2020-12-30,342.95001220703125,344.0,329.5,332.3500061035156,313.57177734375,351295
2020-12-31,334.0,339.5,331.45001220703125,338.04998779296875,318.9497375488281,164791
2021-01-01,338.0,341.20001220703125,334.70001220703125,336.6499938964844,317.6288146972656,125610
2021-01-04,342.0,356.70001220703125,336.95001220703125,345.0,325.5069885253906,644292
2021-01-05,344.95001220703125,357.70001220703125,339.29998779296875,354.3500061035156,334.3287658691406,843235
2021-01-06,355.5,361.0,348.70001220703125,352.95001220703125,333.00787353515625,344067
2021-01-07,355.1000061035156,370.0,352.29998779296875,361.25,340.8388366699219,372362
2021-01-08,365.0,375.79998779296875,362.0,364.0,343.4335021972656,404986
2021-01-11,365.5,369.6000061035156,352.70001220703125,356.8500061035156,336.6874694824219,215776
2021-01-12,356.0,367.0,356.0,360.79998779296875,340.4143371582031,143789
2021-01-13,363.0,366.8500061035156,347.0,348.79998779296875,329.0923156738281,256008
2021-01-14,349.0,360.0,349.0,355.6499938964844,335.5552673339844,461488
2021-01-15,356.0,358.75,348.0,349.1000061035156,329.3753967285156,95157
2021-01-18,351.79998779296875,353.0,345.75,346.0,326.4505310058594,98225
2021-01-19,348.3500061035156,355.0,348.3500061035156,353.8500061035156,333.85699462890625,90823
2021-01-20,351.5,358.75,351.5,356.8500061035156,336.6874694824219,83613
2021-01-21,359.0,370.0,356.6000061035156,359.6499938964844,339.3293151855469,241273
2021-01-22,361.8500061035156,370.5,358.6000061035156,365.5,344.8487854003906,249783
2021-01-25,368.79998779296875,369.79998779296875,351.0,366.25,345.5563659667969,87582
2021-01-27,366.20001220703125,370.0,355.75,367.0,346.2640075683594,144752
2021-01-28,366.0,372.95001220703125,360.8999938964844,369.20001220703125,348.3397216796875,109703
2021-01-29,375.0,377.8999938964844,337.25,342.5,323.1482849121094,712678
2021-02-01,342.29998779296875,342.29998779296875,320.8500061035156,335.1499938964844,316.2135925292969,378960
2021-02-02,342.0,359.0,336.1499938964844,338.5,319.374267578125,500237
2021-02-03,343.5,356.0,343.04998779296875,347.1499938964844,327.5355529785156,169887
2021-02-04,350.0,360.0,348.0,348.8999938964844,329.1866455078125,132227
2021-02-05,344.0,353.1000061035156,337.1499938964844,339.20001220703125,320.0347595214844,176012
2021-02-08,341.79998779296875,346.45001220703125,339.3999938964844,345.20001220703125,325.69573974609375,209225
2021-02-09,345.20001220703125,352.8500061035156,344.75,346.04998779296875,326.4976501464844,143812
2021-02-10,345.0,347.8999938964844,341.0,343.95001220703125,324.5163269042969,63633
2021-02-11,343.0,346.6499938964844,341.8999938964844,342.29998779296875,322.9595947265625,33296
2021-02-12,344.3999938964844,346.0,338.0,343.70001220703125,324.2804870605469,59538
2021-02-15,343.70001220703125,346.75,339.3999938964844,340.75,321.49713134765625,36169
2021-02-16,342.3999938964844,343.8999938964844,334.54998779296875,335.3500061035156,316.40228271484375,111599
2021-02-17,335.3500061035156,336.5,330.20001220703125,333.8999938964844,315.03424072265625,80425
2021-02-18,334.0,334.0,326.25,327.1499938964844,308.6655578613281,244675
2021-02-19,332.79998779296875,332.79998779296875,323.75,324.6000061035156,306.25970458984375,180528
2021-02-22,328.04998779296875,330.3999938964844,324.25,325.6000061035156,307.2031555175781,61327
2021-02-23,327.0,331.0,324.5,328.29998779296875,309.7505798339844,52867
2021-02-24,329.0,332.0,317.0,323.3999938964844,305.1274719238281,58932
2021-02-25,325.1000061035156,339.5,325.1000061035156,334.04998779296875,315.1756896972656,336577
2021-02-26,333.8999938964844,333.8999938964844,326.6000061035156,330.79998779296875,312.1093444824219,61693
2021-03-01,334.75,334.75,326.6499938964844,327.95001220703125,309.42041015625,31062
2021-03-02,329.8999938964844,330.8500061035156,323.3999938964844,324.20001220703125,305.88226318359375,54875
2021-03-03,329.5,329.5,325.0,325.75,307.3447570800781,51978
2021-03-04,330.0,346.3500061035156,328.0,335.95001220703125,316.9683532714844,303488
2021-03-05,342.0,342.70001220703125,327.6000061035156,329.3500061035156,310.74127197265625,119155
2021-03-08,336.0,336.0,328.0,329.95001220703125,311.307373046875,46451
2021-03-09,334.79998779296875,334.79998779296875,328.0,330.54998779296875,311.87347412109375,166877
2021-03-10,331.0,332.75,327.04998779296875,328.1000061035156,309.5619201660156,25336
2021-03-12,331.75,338.0,325.79998779296875,331.29998779296875,312.5810546875,492026
2021-03-15,335.0,336.5,322.79998779296875,327.8999938964844,309.3731994628906,56650
2021-03-16,329.6000061035156,331.54998779296875,327.04998779296875,328.29998779296875,309.7505798339844,183789
2021-03-17,329.0,329.8500061035156,321.1000061035156,323.54998779296875,305.26898193359375,54533
2021-03-18,323.54998779296875,325.0,304.0,305.8500061035156,288.5690612792969,350947
2021-03-19,306.0,311.8999938964844,300.0,307.8999938964844,290.50323486328125,213721
2021-03-22,306.0,315.5,305.3500061035156,313.95001220703125,296.21142578125,145667
2021-03-23,317.8999938964844,317.8999938964844,313.04998779296875,314.3500061035156,296.58880615234375,26343
2021-03-24,313.8999938964844,313.8999938964844,307.95001220703125,308.3500061035156,290.9278259277344,23497
2021-03-25,308.3500061035156,309.0,298.0,301.54998779296875,284.5119934082031,40112
2021-03-26,301.54998779296875,309.0,300.25,303.45001220703125,286.3046875,213094
2021-03-30,305.0,305.6000061035156,294.0,295.79998779296875,279.08685302734375,104256
2021-03-31,297.8999938964844,298.1000061035156,288.79998779296875,291.20001220703125,274.746826171875,242689
2021-04-01,291.29998779296875,301.5,291.29998779296875,294.54998779296875,277.9075622558594,192526
2021-04-05,300.5,303.0,286.6000061035156,291.8500061035156,275.3600769042969,460068
2021-04-06,295.0,299.20001220703125,288.0,289.70001220703125,273.33160400390625,123821
2021-04-07,290.0,299.0,289.3500061035156,295.75,279.0397033691406,135707
2021-04-08,295.3500061035156,303.6000061035156,295.0,300.3500061035156,283.37982177734375,85177
2021-04-09,299.0,311.0,298.1000061035156,305.04998779296875,287.814208984375,259944
2021-04-12,301.8999938964844,301.8999938964844,286.3500061035156,295.04998779296875,278.3793029785156,114414
2021-04-13,295.0,298.95001220703125,289.5,292.0,275.5016174316406,59505
2021-04-15,288.1000061035156,299.0,288.1000061035156,297.1499938964844,280.3605651855469,76573
2021-04-16,301.0,340.0,301.0,323.04998779296875,304.7972106933594,1139518
2021-04-19,310.0,342.0,300.0,332.8500061035156,314.0435485839844,600914
2021-04-20,334.0,355.79998779296875,334.0,340.29998779296875,321.0725402832031,1039579
2021-04-22,340.29998779296875,369.6499938964844,336.29998779296875,364.54998779296875,343.9524230957031,944251
2021-04-23,362.5,379.5,343.0,346.1499938964844,326.5920104980469,644327
2021-04-26,353.95001220703125,371.79998779296875,346.25,366.3999938964844,345.6978759765625,471212
2021-04-27,373.8999938964844,385.0,366.45001220703125,373.6000061035156,352.4910888671875,658582
2021-04-28,375.0,384.8999938964844,362.6499938964844,365.45001220703125,344.8016052246094,525905
2021-04-29,367.04998779296875,375.3500061035156,356.0,359.20001220703125,346.0056457519531,319467
2021-04-30,358.8999938964844,376.0,354.25,370.29998779296875,356.6979064941406,231071
2021-05-03,371.0,383.75,371.0,380.95001220703125,366.9567565917969,493969
2021-05-04,384.6000061035156,457.1000061035156,384.04998779296875,428.04998779296875,412.32659912109375,5032797
2021-05-05,434.29998779296875,460.0,406.6499938964844,426.8500061035156,411.17071533203125,2979183
2021-05-06,440.0,512.2000122070312,432.20001220703125,512.2000122070312,493.3856201171875,4552784
2021-05-07,550.0,563.4000244140625,516.5499877929688,560.6500244140625,540.055908203125,3776478
2021-05-10,561.0,616.7000122070312,540.0,616.7000122070312,594.0470581054688,2491062
2021-05-11,635.0,678.3499755859375,635.0,664.1500244140625,639.754150390625,3496238
2021-05-12,661.0,690.0,642.3499755859375,654.4500122070312,630.4104614257812,1423048
2021-05-14,661.5,679.7000122070312,640.0,658.9500122070312,634.7451171875,669912
2021-05-17,664.0,674.7000122070312,629.4000244140625,654.7999877929688,630.7474365234375,882186
2021-05-18,654.7999877929688,664.0,645.0,652.4500122070312,628.48388671875,336782
2021-05-19,649.7999877929688,685.0499877929688,646.6500244140625,685.0499877929688,659.8863525390625,813209
2021-05-20,705.0,719.2999877929688,702.0,719.2999877929688,692.8782958984375,454108
2021-05-21,755.25,755.25,691.0999755859375,749.25,721.7280883789062,973815
2021-05-24,761.5,786.7000122070312,736.5499877929688,752.2999877929688,724.6660766601562,706169
2021-05-25,750.0,756.0,714.7000122070312,714.7000122070312,688.4473266601562,482472
2021-05-26,699.0,750.4000244140625,679.0,750.4000244140625,722.8359985351562,623871
2021-05-27,770.0999755859375,787.0,720.0,732.5999755859375,705.689697265625,826091
2021-05-28,746.0,759.0,734.5999755859375,744.9500122070312,717.5860595703125,356981
2021-05-31,746.0,764.7999877929688,726.5999755859375,757.0999755859375,729.2896728515625,549324
2021-06-01,760.0,794.9500122070312,737.5499877929688,746.1500244140625,718.7420654296875,1004113
2021-06-02,746.0,770.0,737.7000122070312,757.5,729.6751098632812,642375
2021-06-03,763.0,795.3499755859375,761.2999877929688,795.3499755859375,766.134765625,590878
2021-06-04,835.0999755859375,835.0999755859375,804.0,812.3499755859375,782.5103149414062,1142004
2021-06-07,852.1500244140625,962.6500244140625,852.1500244140625,927.7000122070312,893.6231079101562,2795768
2021-06-08,919.9500122070312,965.0,885.0999755859375,892.1500244140625,859.3790893554688,1656842
2021-06-09,899.7999877929688,918.7000122070312,832.0499877929688,847.7000122070312,816.561767578125,715995
2021-06-10,848.0,897.8499755859375,815.7000122070312,884.25,851.7692260742188,772521
2021-06-11,888.7000122070312,894.0,860.0999755859375,873.6500244140625,841.55859375,241746
2021-06-14,852.0999755859375,872.0,821.2999877929688,852.4000244140625,821.0891723632812,269429
2021-06-15,850.0,870.0499877929688,848.0,851.2000122070312,819.9332275390625,172613
2021-06-16,854.7999877929688,865.0,822.2000122070312,832.75,802.1610717773438,268338
2021-06-17,815.0,855.0,797.0499877929688,826.9000244140625,796.52587890625,271846
2021-06-18,827.9500122070312,833.8499755859375,765.75,800.8499755859375,771.4328002929688,377293
2021-06-21,785.1500244140625,824.0,768.0499877929688,806.9500122070312,777.3087158203125,234009
2021-06-22,809.9000244140625,860.0,807.0,821.75,791.5650024414062,362988
2021-06-23,835.9000244140625,842.0,815.0,821.75,791.5650024414062,131738
2021-06-24,818.0499877929688,829.0,806.9500122070312,815.5499877929688,785.5928344726562,98727
2021-06-25,819.5,822.9500122070312,792.0,802.0,772.54052734375,104123
2021-06-28,805.0,817.9500122070312,805.0,811.0999755859375,781.3062133789062,78530
2021-06-29,815.2000122070312,880.0,811.0,855.5999755859375,824.171630859375,769252
2021-06-30,861.7999877929688,872.4500122070312,839.0499877929688,858.0999755859375,826.5798950195312,242160
2021-07-01,862.9000244140625,892.25,852.0999755859375,875.0499877929688,842.9072265625,311624
2021-07-02,880.4000244140625,906.0,866.75,877.0499877929688,844.833740234375,288767
2021-07-05,886.7999877929688,905.7999877929688,881.8499755859375,886.2000122070312,853.6476440429688,415707
2021-07-06,893.0,904.5,890.0499877929688,895.5,862.6060180664062,279807
2021-07-07,902.0,984.0,888.0,935.4500122070312,901.088623046875,2610455
2021-07-08,941.0,956.5,921.0,929.2000122070312,895.0681762695312,336024
2021-07-09,928.8499755859375,984.0,902.9500122070312,965.2000122070312,929.7457885742188,890701
2021-07-12,968.0,1046.4000244140625,968.0,1016.4500122070312,979.1131591796875,1150251
2021-07-13,1032.050048828125,1048.0,993.0,1036.449951171875,998.3785400390625,685199
2021-07-14,1038.0,1092.0,1029.0999755859375,1070.25,1030.9368896484375,845754
2021-07-15,1079.5,1123.800048828125,995.0,1060.1500244140625,1021.2078247070312,1227889
2021-07-16,1180.0,1272.1500244140625,1111.0,1272.1500244140625,1225.4207763671875,2238723
2021-07-19,1318.0,1475.0,1302.1500244140625,1357.25,1307.394775390625,3178718
2021-07-20,1382.5,1429.949951171875,1247.0,1272.050048828125,1225.324462890625,1351343
2021-07-22,1302.050048828125,1364.4000244140625,1291.0,1335.1500244140625,1286.1065673828125,986328
2021-07-23,1346.4000244140625,1348.4000244140625,1255.550048828125,1305.800048828125,1262.705322265625,377479
2021-07-26,1290.0,1298.9000244140625,1204.0,1229.5999755859375,1189.0198974609375,621432
2021-07-27,1227.050048828125,1274.9000244140625,1200.0,1204.0,1164.2650146484375,424833
2021-07-28,1214.050048828125,1245.0,1174.4000244140625,1215.5999755859375,1175.482177734375,512183
2021-07-29,1215.0,1228.25,1171.25,1191.1500244140625,1151.8389892578125,255921
2021-07-30,1185.0,1212.0,1175.0,1187.25,1148.0677490234375,205897
2021-08-02,1204.0,1305.949951171875,1198.199951171875,1305.949951171875,1262.8502197265625,1032947
2021-08-03,1351.0,1395.949951171875,1311.0999755859375,1320.0999755859375,1276.5333251953125,717973
2021-08-04,1335.0,1356.0,1249.6500244140625,1273.550048828125,1231.51953125,367764
2021-08-05,1290.0,1335.0,1237.0,1319.6500244140625,1276.09814453125,734739
2021-08-06,1323.0,1331.199951171875,1275.0,1294.4000244140625,1251.6815185546875,169373
2021-08-09,1294.4000244140625,1299.800048828125,1261.199951171875,1269.9000244140625,1227.9901123046875,120012
2021-08-10,1278.25,1294.0,1143.0,1212.5,1172.484375,448516
2021-08-11,1232.449951171875,1248.6500244140625,1124.050048828125,1190.449951171875,1151.162109375,678696
2021-08-12,1202.25,1249.949951171875,1196.9000244140625,1239.9000244140625,1198.9801025390625,295097
2021-08-13,1246.0,1247.199951171875,1215.050048828125,1235.5,1194.7252197265625,223752
2021-08-16,1237.0,1237.0,1202.0,1225.5,1185.05517578125,123282
2021-08-17,1240.0,1240.0,1197.9000244140625,1208.050048828125,1168.181396484375,90431
2021-08-18,1218.0,1230.0,1190.0,1196.0999755859375,1156.62548828125,121143
2021-08-20,1157.0,1200.0,1157.0,1183.8499755859375,1144.7799072265625,180308
2021-08-23,1192.0,1202.25,1065.5,1072.199951171875,1036.8145751953125,677402
2021-08-24,1052.0,1123.5,1014.0,1110.699951171875,1074.0440673828125,621617
2021-08-25,1124.0,1150.0,1102.3499755859375,1130.3499755859375,1093.04541015625,208418
2021-08-26,1141.0,1141.0,1096.25,1110.300048828125,1073.6573486328125,122061
2021-08-27,1113.0,1113.0,1067.449951171875,1091.550048828125,1055.5262451171875,124332
2021-08-30,1108.800048828125,1200.699951171875,1095.1500244140625,1200.699951171875,1161.0738525390625,412824
2021-08-31,1225.0,1248.6500244140625,1177.300048828125,1207.4000244140625,1167.5526123046875,434719
2021-09-01,1210.0,1221.050048828125,1160.199951171875,1179.9000244140625,1140.960205078125,148542
2021-09-02,1189.800048828125,1189.800048828125,1155.050048828125,1159.4000244140625,1121.1368408203125,132961
2021-09-03,1168.75,1260.0,1168.75,1234.0,1193.2747802734375,569454
2021-09-06,1239.0,1255.0,1208.0,1223.5,1183.12109375,179748
2021-09-07,1228.0,1228.0,1188.0,1198.5999755859375,1159.04296875,145903
2021-09-08,1210.75,1225.0,1175.050048828125,1206.800048828125,1166.97265625,266205
2021-09-09,1211.0,1247.949951171875,1203.0,1228.8499755859375,1188.294677734375,285773
2021-09-13,1229.9000244140625,1325.0,1229.8499755859375,1295.5999755859375,1252.841796875,891746
2021-09-14,1304.0,1334.800048828125,1265.1500244140625,1278.449951171875,1236.2578125,474872
2021-09-15,1283.800048828125,1294.800048828125,1266.0,1269.800048828125,1227.8934326171875,228465
2021-09-16,1276.800048828125,1305.0,1248.1500244140625,1291.75,1249.118896484375,382164
2021-09-17,1320.0,1325.0,1277.0,1298.4000244140625,1255.54931640625,389321
2021-09-20,1280.0,1290.0,1202.300048828125,1226.199951171875,1185.7320556640625,270474
2021-09-21,1240.0,1240.0,1188.0,1215.3499755859375,1175.240234375,275607
2021-09-22,1222.0,1250.949951171875,1200.0,1225.949951171875,1185.490478515625,301267
2021-09-23,1240.0,1297.0,1232.0,1243.800048828125,1202.7513427734375,465013
2021-09-24,1250.0,1290.0,1227.5,1253.550048828125,1212.1796875,305576
2021-09-27,1263.25,1289.9000244140625,1248.550048828125,1258.5999755859375,1217.06298828125,287269
2021-09-28,1272.0,1350.0,1250.550048828125,1282.1500244140625,1239.8358154296875,1030103
2021-09-29,1277.0,1298.0,1260.0,1278.550048828125,1236.3544921875,222939
2021-09-30,1288.75,1350.0,1285.0999755859375,1322.75,1279.0958251953125,833885
2021-10-01,1310.0,1455.0,1308.0,1439.25,1391.7509765625,1946393
