Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,85.0,86.0,85.0,85.0,54.86315155029297,850
1996-01-02,83.25,86.75,83.25,85.25,55.02452850341797,3100
1996-01-03,86.1500015258789,86.25,86.0,86.25,55.66997146606445,450
1996-01-04,86.0,87.0,86.0,87.0,56.15404510498047,300
1996-01-05,85.5,86.5,85.5,86.0,55.508609771728516,1900
1996-01-08,86.0,86.5,85.0,85.0,54.86315155029297,3700
1996-01-09,85.0,84.9000015258789,84.0,84.0,54.21770095825195,1250
1996-01-10,85.0,85.0,84.19999694824219,84.19999694824219,54.34679412841797,400
1996-01-11,84.5,84.5,83.9000015258789,83.94999694824219,54.18544006347656,900
1996-01-12,84.0,86.5,83.0,83.0,53.57225799560547,1250
1996-01-15,83.0,83.0,82.0,82.94999694824219,53.53998565673828,850
1996-01-16,80.5,82.0,80.05000305175781,81.5,52.60408401489258,500
1996-01-17,80.05000305175781,80.05000305175781,80.05000305175781,80.05000305175781,51.66819381713867,50
1996-01-18,81.0,83.0,81.0,81.94999694824219,52.8945198059082,300
1996-01-19,80.8499984741211,80.8499984741211,79.5,80.0,51.63591384887695,200
1996-01-22,80.0,76.0,76.0,76.0,49.05412673950195,50
1996-01-23,83.0,83.0,81.0,81.0,52.28135299682617,1050
1996-01-24,78.0,78.5,76.80000305175781,78.44999694824219,50.63545608520508,900
1996-01-25,78.44999694824219,79.25,78.5,79.0999984741211,51.05500793457031,2300
1996-01-26,79.0999984741211,79.0999984741211,79.0999984741211,79.0999984741211,51.05500793457031,0
1996-01-29,79.0999984741211,80.44999694824219,79.0,80.25,51.79726791381836,850
1996-01-30,80.25,82.0,79.0,82.0,52.926822662353516,7800
1996-01-31,82.0,83.0,82.0,83.0,53.57225799560547,7950
1996-02-01,83.5,84.0,83.5,84.0,54.21770095825195,350
1996-02-02,84.0,88.5,85.0,88.19999694824219,56.9285888671875,11350
1996-02-05,88.19999694824219,92.0,88.05000305175781,89.55000305175781,57.79995346069336,13300
1996-02-06,89.55000305175781,93.0,89.0,90.9000015258789,58.67129898071289,10350
1996-02-07,90.9000015258789,90.0,89.0,89.69999694824219,57.89677047729492,2150
1996-02-08,90.75,94.0,90.05000305175781,93.80000305175781,60.54310989379883,6350
1996-02-09,93.0,99.0,93.0,97.05000305175781,62.64082336425781,5550
1996-02-12,97.05000305175781,106.5,100.0,100.1500015258789,64.6417007446289,6250
1996-02-13,100.1500015258789,98.0,91.0,94.5,60.99492263793945,5950
1996-02-14,94.5,104.0,100.25,103.4000015258789,66.7394027709961,4450
1996-02-15,103.4000015258789,104.0,98.05000305175781,103.0999984741211,66.5457763671875,2150
1996-02-16,103.0999984741211,102.5,100.25,102.5,66.15848541259766,5850
1996-02-19,102.5,104.0,100.30000305175781,103.0,66.48123931884766,5650
1996-02-20,103.0,109.0,103.05000305175781,106.0,68.41757202148438,4150
1996-02-21,106.0,106.0,106.0,106.0,68.41757202148438,0
1996-02-22,106.0,110.0,107.0,107.0,69.06303405761719,2350
1996-02-23,107.0,108.44999694824219,107.5,107.80000305175781,69.57939147949219,2000
1996-02-26,107.80000305175781,110.0,106.0,106.0,68.41757202148438,4850
1996-02-27,106.0,108.0,105.5,107.25,69.22440338134766,4900
1996-02-28,107.25,109.5,107.5,108.0,69.70849609375,2400
1996-02-29,108.0,108.0,105.0,105.5,68.09485626220703,4200
1996-03-01,105.5,107.75,105.0,107.3499984741211,69.28892517089844,6150
1996-03-04,107.3499984741211,108.0,106.25,107.8499984741211,69.61164855957031,2300
1996-03-05,107.8499984741211,107.8499984741211,107.8499984741211,107.8499984741211,69.61164855957031,0
1996-03-06,107.8499984741211,105.25,104.55000305175781,104.75,67.61077117919922,900
1996-03-07,104.75,107.9000015258789,104.5,104.5,67.44940185546875,550
1996-03-08,104.5,104.0,98.0,101.0,65.19033813476562,1500
1996-03-11,104.0,104.0,97.5,97.5,62.93125915527344,1350
1996-03-12,97.5,98.25,96.55000305175781,96.80000305175781,62.47945022583008,2200
1996-03-13,96.80000305175781,100.0,97.5,99.5,64.22216796875,1150
1996-03-14,99.5,102.9000015258789,98.25,98.69999694824219,63.705806732177734,1750
1996-03-15,98.69999694824219,98.5,98.5,98.5,63.57672882080078,500
1996-03-18,98.5,99.0,96.94999694824219,97.0,62.608551025390625,800
1996-03-19,97.0,97.0,91.0999984741211,91.80000305175781,59.252193450927734,1600
1996-03-20,91.80000305175781,91.80000305175781,91.80000305175781,91.80000305175781,59.252193450927734,0
1996-03-21,91.80000305175781,97.0,94.0,96.05000305175781,61.995357513427734,950
1996-03-22,96.05000305175781,97.0,95.0,97.0,62.608551025390625,900
