Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,167.0,167.0,167.0,167.0,105.3471450805664,100
1996-01-02,165.0,165.0,164.5,164.5,103.77010345458984,400
1996-01-03,163.75,163.75,163.75,163.75,103.29695129394531,500
1996-01-04,165.0,165.0,159.0500030517578,159.0500030517578,100.33212280273438,300
1996-01-05,160.0,160.0,158.0,159.0,100.30052947998047,300
1996-01-08,161.9499969482422,161.9499969482422,161.9499969482422,161.9499969482422,102.16151428222656,100
1996-01-09,161.9499969482422,161.0,161.0,161.0,101.56221771240234,1100
1996-01-10,160.0,160.0,160.0,160.0,100.93143463134766,100
1996-01-11,160.0,160.0,160.0,160.0,100.93143463134766,100
1996-01-12,157.5,157.5,157.5,157.5,99.3543472290039,100
1996-01-15,157.5,157.5,157.5,157.5,99.3543472290039,0
1996-01-16,157.5,157.5,157.5,157.5,99.3543472290039,0
1996-01-17,157.5,157.5,157.5,157.5,99.3543472290039,0
1996-01-18,157.5,157.5,157.5,157.5,99.3543472290039,0
1996-01-19,147.0,148.0,146.5,148.0,93.36157989501953,300
1996-01-22,150.0,150.0,150.0,150.0,94.6231918334961,100
1996-01-23,147.0,148.0,147.0,148.0,93.36157989501953,200
1996-01-24,145.0500030517578,145.0500030517578,145.0,145.0,91.46907043457031,200
1996-01-25,138.0,138.0,138.0,138.0,87.05331420898438,100
1996-01-26,138.0,138.0,138.0,138.0,87.05331420898438,0
1996-01-29,138.0,138.0,138.0,138.0,87.05331420898438,100
1996-01-30,146.0,146.0,144.0,144.0,90.83826446533203,200
1996-01-31,148.0,148.0,146.5,146.5,92.4153060913086,200
1996-02-01,145.0,147.0,145.0,147.0,92.73070526123047,500
1996-02-02,152.0,155.0,152.0,155.0,97.77730560302734,400
1996-02-05,160.0,160.0,158.0,158.0,99.66976165771484,500
1996-02-06,158.0,159.0,157.0,157.0,99.0389404296875,500
1996-02-07,157.0,157.0,157.0,157.0,99.0389404296875,0
1996-02-08,150.0,150.0,150.0,150.0,94.6231918334961,100
1996-02-09,155.0,155.0,155.0,155.0,97.77730560302734,100
1996-02-12,165.0,165.0,165.0,165.0,104.08553314208984,100
1996-02-13,165.0,160.0,157.5,160.0,100.93143463134766,1000
1996-02-14,165.0,175.0,165.0,165.0,104.08553314208984,2700
1996-02-15,165.0,181.0,175.0,181.0,114.17863464355469,700
1996-02-16,181.0,175.0,168.0,168.39999389648438,106.23027801513672,700
1996-02-19,175.5,176.5,175.0,176.5,111.33995056152344,400
1996-02-20,170.0,179.0,170.0,179.0,112.91698455810547,900
1996-02-21,179.0,179.0,179.0,179.0,112.91698455810547,0
1996-02-22,173.0,173.0,173.0,173.0,109.13211059570312,100
1996-02-23,173.0,173.0,173.0,173.0,109.13211059570312,0
1996-02-26,168.0,169.0,168.0,169.0,106.60879516601562,200
1996-02-27,169.0,169.0,169.0,169.0,106.60879516601562,0
1996-02-28,170.0,173.0,170.0,171.0,107.87040710449219,300
1996-02-29,171.0,165.0,165.0,165.0,104.08553314208984,100
1996-03-01,165.0,165.0,160.0,165.0,104.08553314208984,400
1996-03-04,164.0,164.89999389648438,164.0,164.89999389648438,104.02243041992188,200
1996-03-05,164.89999389648438,164.89999389648438,164.89999389648438,164.89999389648438,104.02243041992188,0
1996-03-06,164.89999389648438,164.89999389648438,164.89999389648438,164.89999389648438,104.02243041992188,0
1996-03-07,165.0,165.0,165.0,165.0,104.08553314208984,100
1996-03-08,165.5,165.5,165.0,165.0,104.08553314208984,300
